B_mem_switched,B_mem_unswitched,B_naive,Plasma_cell
TNFRSF13B,ZBTB32,TCL1A,IGKC
SHISA8,FCRL5,FCER2,IGKV4-1
BLK,FCRL3,COL19A1,JCHAIN
BANK1,CD19,PAX5,MZB1
P2RX5,SPIB,C12orf42,IGHA2
STAP1,PAX5,LINC00926,IGHG4
SCIMP,LINC01857,FCRL3,IGHG2
LINC01857,SCIMP,CD19,IGHA1
GNG7,AC104024.1,LINC02397,IGHG1
MS4A1,BLK,CD79A,IGHG3
TNFRSF13C,TNFRSF13B,FCRL5,IGHD
CD19,FCRL2,STAP1,IGHV3-23
LINC00926,SHISA8,CD72,IGHV3-30
CD79A,CD70,BTLA,JSRP1
LINC00426,SYNGR2,VPREB3,IGLC1
PAX5,KLK1,FAM30A,IGLC2
LINC02397,PHF6,MS4A1,IGLC3
BCL11A,ATF5,ADAM28,DERL3
AIM2,BANK1,TNFRSF13C,IGHM
ADAM28,TNFRSF13C,BCL11A,AL139099.1
BTLA,CD58,SELL,POU2AF1
CXCR5,CD22,P2RX5,SSR4
FCER2,CIITA,BANK1,TXNDC5
DNAJC5B,GNG8,CNR2,AC078883.1
PARP15,METTL8,LINC01857,LINC01480
C12orf42,TLR10,AP001059.3,AC104699.1
FAM30A,WDFY4,SHISAL2A,SPINK2
CD70,HLA-DOA,AC073111.4,LINC02384
LY9,MS4A1,ZNF318,ERN1
KDM4B,NFKBID,GNG7,LTK
FGD2,CXCR5,TLR10,HERPUD1
PRDM2,TMC8,PARP15,TP53INP1
CD72,STAP1,SPIB,KCNK12
SIT1,CLECL1,WDFY4,PAIP2B
POU2AF1,LINC01480,RCN2,PDK1
CYBB,CD79A,CD22,FCRL5
SEL1L3,POU2F2,LY9,SEL1L
SPIB,DNAJC5B,GAPT,NUGGC
ITGAE,FAM30A,BLK,HIST1H2AC
WDFY4,LINC00926,ITGAE,U62317.4
MARCH1,PTPN6,AL133259.1,AC012645.3
AC024560.5,CYBB,STAG3,CCPG1
AMN,LINC02397,KDM4B,CD38
BAIAP3,PARP15,CXCR5,MT1F
KLK1,IRF4,BLNK,ADTRP
PIKFYVE,CNR2,AC120193.1,TBCEL
LY86,SEL1L3,FCMR,EML5
CD22,LINC01215,TMEM156,MEI1
EHMT1,FGD2,LINC01215,PIK3CG
GRAMD1C,ZC3H8,CD37,FAM30A
CLECL1,HLA-DMB,SLC37A1,MT1H
NCF4,TNFRSF18,SHISA8,LINC02362
IGHG4,POU2AF1,PRDM2,FCRL2
LINC01215,LPCAT1,TNFRSF13B,SEC11C
HSH2D,BTLA,INPP5A,SPAG4
POU2F2,IZUMO4,CYBB,BLNK
FCRL3,AC008105.3,BACH2,SLC17A9
TBXAS1,PIKFYVE,RNASE6,ATF5
RCN2,DUSP22,CD79B,CEP128
AP001059.3,NRROS,HSH2D,HIST1H4H
ACP5,TCEA1,MARCH1,AL096865.1
NIN,AC073111.4,BTK,HIST1H2BJ
AC073111.4,HVCN1,DMXL1,JMY
TMED8,IRF5,HVCN1,SERP1
IZUMO4,VPREB3,AC024560.5,RABAC1
TMC8,NCF4,SIPA1L1,HIST1H2BC
ZBTB32,NIN,NFKBID,ANKRD28
SLC37A1,NDUFAF8,POU2F2,TGFBR3L
AP1S3,AL133259.1,FGD2,USP48
ISCU,TMC6,TLR6,PIM2
CD37,AIM2,ORAI2,CLECL1
PRDM4,IL21R,SP140L,ABHD5
INPP5A,P2RX5,IZUMO4,HIST1H1C
TMEM156,SLC37A1,IGHD,TMEM107
ORAI2,HAGHL,USP8,HIST1H2BG
STAG3,ACP5,RCSD1,FKBP11
PHF6,ESR2,FCGR2B,LINC00528
SESN3,SHISAL2A,HSPBAP1,ERLEC1
NRROS,PARP14,MGAT5,MGAT2
PPFIBP2,IGFLR1,ANKRD44,KLHL6
BTK,PARP9,SNX2,TXNDC15
NFKBID,HLA-DQB1,SCIMP,CD79A
HLA-DMB,GRK3,FCHO1,SYNGR3
RUBCN,FCMR,PARP14,ST6GALNAC4
HAGHL,MIR155HG,LY86,OTUD1
JADE2,AC024560.5,GPR18,ZBP1
IRF5,HSH2D,LINC00426,STAP1
GRK3,CXorf21,RUBCN,DUSP5
ANKRD44,PRDM2,TSPAN33,IFNLR1
RBM26,CD180,TMC8,CRELD2
ICAM3,DUSP2,COL9A3,MANEA
CORO1A,TFEC,HLA-DMB,GALNT2
DRAM2,ARHGAP25,PIKFYVE,EDEM1
TSPAN33,ISCU,EIF2AK3,LIME1
MAPK8IP3,AC092821.3,EHMT1,TMEM19
TFEB,CD84,RBM38,WNT10A
FBXO10,FCER2,SPPL2B,SRPRB
RPS11,PHACTR1,TMED8,IZUMO4
UPF2,REL,RBM26,FNDC3A
SYNGR2,COL19A1,IL21R,AC239799.2
