DC,Macro,Macro-lipo
CCL17,C1QA,CHIT1
CCL22,C1QC,TM4SF19
VMO1,C1QB,ATP6V0D2
CLEC9A,FCER1G,TREM2
PNOC,FCGR2A,OCSTAMP
GPR157,CREG1,LINC02244
FLT3,NPL,APOC2
LAMP3,IL10,LINC02384
CFP,PLEK,TNFSF15
GCSAM,IL1B,PLA2G2D
LGALS2,IL1RN,SULT1C2
CRLF2,SLC11A1,PKD2L1
CD86,CD80,TMEM163
SERPINB1,ACSL1,ACP5
AC020656.1,MIR3945HG,HTRA4
LILRA5,SLC1A3,MMP9
HLA-DPB1,GM2A,CLEC12A
GNG8,HAVCR2,SNX10
HLA-DOB,AIF1,FDX1
ADAM19,PLA2G7,ITGB2
WDFY4,SLC16A10,DCSTAMP
TVP23A,AC005083.1,SMIM25
C1orf162,PILRA,ATP1A4
PADI2,TFEC,CLEC4E
CYP2S1,MSR1,LYZ
TMSB4X,AC009630.4,SLC16A6
UBE2F,AZIN1-AS1,AC020656.1
TXN,LNCAROD,DNAJC5B
CLEC7A,SPI1,AL121890.4
HLA-DPA1,MS4A4A,MFSD12
IDO1,MS4A7,AC083864.5
KDM2B,CD163,CCL18
ETV3,C3AR1,NR1H3
CD80,OLR1,AK8
TBC1D13,SDS,CTSS
MAP3K14,P2RX7,GM2A
RNASE6,HIF1A-AS3,AL356417.3
CLEC10A,DMXL2,PSD3
BTLA,AQP9,CTSD
TTYH2,ITGAX,CD68
AJ009632.2,PIK3R5,AC015660.2
TMEM123,CCL3,FPR3
LY75,CCL3L1,MS4A4A
ID2,CD300A,AC004988.1
TNFSF13B,EBI3,PDE6G
CSF2RA,IFI30,CCL17
LYZ,TYROBP,HLA-DQB2
IFI30,C5AR1,AMZ1
RAMP1,LILRB3,LIPA
GCLC,LILRB2,OTOA
TSPAN33,LAIR1,CYB561A3
APOBEC3A,LILRB1,STON1-GTF2A1L
IL4I1,LILRB4,TMEM138
PIKFYVE,HCK,CAPG
LY86,MMP9,AC093583.1
HLA-DQB2,OSM,PLA2G7
PLEKHM3,CRLF2,ADAMDEC1
SERPINB9,CSF2RA,AC114296.1
DNASE1L3,GK,FKBP15
SYNGR2,MPP1,MEIKIN
CD83,LST1,NCF2
CD74,BCAT1,GRN
HLA-DQB1,EREG,HMG20B
AC004847.1,IL1R2,IFI30
LOR,SLC7A7,AQP9
HSD11B1-AS1,IL2RA,AL596330.1
IL2RA,CXCL5,NPL
RASSF4,CTSB,ZMIZ1-AS1
C19orf38,AMPD3,HK3
SLC6A12,ATP8B4,LILRB4
CMTM6,CD86,GSDME
CIITA,IDO1,OSCAR
SLC5A3,NLRP3,SLAMF7
ACOT9,SLC43A2,LINC00520
ASMTL,LYZ,C1QA
HPD,NEU4,SDS
RHOF,PLXNC1,LGALS3
EDEM1,TTYH2,SLC39A11
NABP1,TNIP3,ABHD12
AIF1,GPR137B,AC244090.1
CXCL16,ATP2B1-AS1,TLR8
KCNE5,ZFYVE16,AC068193.1
RGS18,PIK3AP1,SLC31A1
IL1R2,GRAMD1A,NCF1
C12orf45,ABHD12,AC005280.2
HLA-DRA,PDE4DIP,MRPL44
BX255923.2,CCR7,LINC02732
GPR137B,IL1A,CD300C
FSCN1,FMN1,LGALS2
CCR7,MYO1G,TMEM251
CERS6,IL4I1,CALM3
AP001056.2,SLC2A6,CD164
SPI1,SLAMF7,CIR1
ST8SIA4,MIR155HG,SLC25A48
ARRB2,ARMC9,CYBB
CD180,TLR2,FAIM
POGLUT1,PHACTR1,TXN
LSP1,CD68,ADA2
AC092809.2,CCL4L2,ANKRD1
RASAL1,MANBA,AC104971.3
