PV1,PV2,PV3,PV4,PV5
DCBLD1,LINC01348,CASQ2,ADGRL3,THBS4
AC027031.2,PGAP1,NRIP2,CLSTN2,P2RY14
CPM,CMSS1,RERGL,ECRG4,HIGD1B
NPTX2,PCSK1,WFDC1,CCL19,VIPR1
TRPC4,SRL,KCNA5,GGT5,AGAP2
ADRA2C,GPAT2,SLC38A11,HAS2,FFAR2
CNR1,NDUFS2,KCNAB1,LINC00924,SYP
CTSC,OPA3,PRPH,PAPPA2,RGS5
OLFM2,UCN,NRGN,ARHGAP1,FAM162B
SGIP1,BEX1,HAPLN2,SORBS3,COL23A1
ELK1,CALCA,TBX2-AS1,INMT,ARHGEF17
PTPN1,USP2,MEF2B,AGT,SNHG32
LIN7A,RBM24,PLN,PCDH9,PLCL1
GJC1,ALG13,MUSTN1,LINC01197,NDUFA4L2
ADCYAP1R1,RASD2,SGCA,DES,EPB41L1
NCK2,LRRC10B,PTP4A3,DMRT3,FRMD3
GCNA,CYCS,RBPMS2,ANGPTL1,TMEM74B
GLIS2,PPARGC1A,MYOM1,PLPPR4,DPY19L2
CYTH3,KCTD20,KLHL23,IGFBP5,PCK1
LONRF1,USP37,RCAN2,EDIL3,AC100793.2
EPS8,PRMT9,MAP3K7CL,ARHGAP15,C20orf27
CYP26B1,ALPK3,WTIP,TGFBI,ABCC9
IL1RL1,IL24,FBXL13,GUCY1A2,LZTS1
CHST2,ZNF141,ATP1A2,CHSY3,IER5L
EDNRB,AC091182.1,CACNA1A,LGI4,SCN4B
PTGER3,LCLAT1,GLDN,REM1,COL25A1
TMED5,FAM122A,MYH11,EN1,FKBPL
SSTR2,PRKAR1A,NMNAT2,RDH5,DMRT3
AF121898.1,RPRM,LDB3,GORAB,COX4I2
SLC1A2,AL022334.2,CAP2,FAM13C,AL020997.5
TRAM2,CREM,NTRK3,FHL1,TESC
HIPK2,IL1RL2,MYL9,EMX2OS,AVPR1A
CREB3L2,CTH,PPM1L,ANGPT1,BX284668.6
PAG1,SMC5,SEPTIN4,HSPB6,TBCC
GLIS3,EIF4A3,HACD1,ISYNA1,ANGPTL4
CD276,APEX1,MGST3,AC018647.1,GUCY1A2
SOX13,MYOCD,TBX2,PCSK1N,HRC
UBA2,CCDC107,CAMK2G,SYNPO2,HES7
TMEM189,PIP5K1B,SNTA1,STEAP4,PNMA1
NDUFS2,HNRNPH3,HRC,PDE5A,SERTAD3
PROCR,RBKS,NET1,PRKAR2B,PTEN
ASAP1,BNIP3L,FRZB,OLFML2B,SEPTIN4
PDE8A,AC090617.10,NUDT4,SLIT3,ASXL1
LARGE1,RGS6,RASL12,NPY1R,RASD1
PEX5,THAP2,CACNB2,FHL5,FUS
PMEPA1,AL450384.2,NT5DC2,SEPTIN7,LINC00989
RASD2,SLC25A4,AC018647.1,DPY19L2,AGTR1
COL25A1,CACNB2,LBH,CNR1,EBF2
ZFP91,SLC25A19,AC092164.1,PELI2,LRATD1
DENND5A,CHSY1,ADIRF,CCDC102B,ITGA7
CDC37L1,HIPK2,SORT1,ABCC9,ANO3
AHR,ZNF331,NR2F2-AS1,PARM1,NOTCH3
PRKG1,GYG1,ISYNA1,CH25H,STEAP4
MECP2,RNF152,SORBS2,SDC2,ADCY6
RNF152,ELL2,COX4I2,SCN4B,CYGB
HSPA12A,ZNRD1,HOXB-AS1,MRGPRF,SPECC1
SATB2,ZFHX3,DMPK,SNTA1,KLHL23
STARD13,ATP1B3,MAPRE2,LMOD1,SLC38A11
PCED1A,BCAS2,CDH6,C20orf27,HEXIM1
CHSY1,GLIS2,CCDC3,TPPP3,SELENBP1
GNAI1,CCK,CABP1,AOC3,BRD2
DLX5,HES4,NDUFA4L2,VGLL3,GPRIN3
CNBP,ADCY9,SERPINI1,TMEM119,INAFM1
FAM110B,NGF,HSDL2,SUSD2,CCDC102B
PDGFA,ST3GAL3,ARHGEF25,SEMA4C,AL391121.1
DEGS1,SNHG15,CACNA1H,CCL26,TNS2
SPRY2,AC140912.1,AC091182.1,PHYHIP,DAAM2
IPO5,DISP1,ROCK1,TLE2,GUCY1B1
B4GALT3,RAB21,AL450384.2,SMARCD3,MYO1B
DDX21,ARTN,AKAP1,TTLL7,H19
COPS2,WBP11,FAM122A,AC009951.6,S1PR3
CDC42EP2,BANP,MICAL1,MRVI1,ZNF574
TBC1D23,AL392172.1,HRH2,LMCD1,MEF2C
PRMT1,CCDC151,CRIP1,CSGALNACT1,RGS16
RNF5,BTBD9,PDE5A,BATF3,ING1
PSMD8,LINC00205,ARPC1A,TRAF3IP2-AS1,HNRNPU
ADAMTS12,LINC01436,DSTN,CDH16,MAFA
AGTR1,FOXK2,KANK2,ANKRD33B,WDFY2
LPL,C4orf33,ADAMTS10,DACT1,PTH1R
ACO1,DACT3,PPP1R1A,TAGLN,APBB2
TASOR2,HSPB7,KIAA0040,UBR1,LINC00205
ARHGAP17,PSMD12,THRA,TMEM176A,ATP1B2
TBC1D1,NAP1L5,HCFC1R1,CD4,PGM5-AS1
KLHL26,ADCY3,MID1IP1,PPP1R14A,SEPTIN7
SLC25A5,WDR45B,CABIN1,HSPB2,RDH5
PDE3A,RASSF1,SMARCD3,SOCS1,LINC02076
PLPPR4,EIF1B,NBEAL1,NR2F2,AP001033.3
FGD4,EPOR,NOL3,IKZF4,COL5A3
COL27A1,CASP9,NTRK2,DEPP1,TRPC6
GJA4,ZHX2,AC104083.1,HSPB7,POU3F1
EIF4A1,LINC00702,MRVI1,SLC1A2,PLEKHG6
THAP3,MFHAS1,SLC2A4,PPP1R12A,DCBLD1
FNBP4,MAP3K7CL,SLC8A1,CCDC71L,AC006449.2
FZD10,MRPL32,PPP1R14A,ADAMTS10,COL18A1
MSI1,TRPC4,SEPTIN7,NMD3,KCNJ8
TRIM28,GCNA,ARHGEF17,NOTCH3,ARL4D
SEC24D,MYOM2,C1QTNF1,TBCC,INTS6
ARHGEF7,PRKACA,UBA2,SMIM10,AP001160.1
ARHGAP6,HBP1,BCAM,FFAR2,CDC42EP4
SNHG15,AXL,PPP1R12B,SEPTIN8,AGAP1-IT1
