NK_1,NK_2,NK_3
MYOM2,GZMK,KLRC2
SPON2,XCL2,CD3E
CLIC3,CMC1,GZMH
LAIR2,SELL,CCL5
AKR1C3,XCL1,CD3D
IGFBP7,KLRC1,IL32
FGFBP2,DUSP2,ITGB1
FCER1G,AREG,HBA1
CX3CR1,IL7R,S100A6
GZMB,TCF7,CD3G
CHST2,CD44,VIM
PRF1,FOS,LINC01871
KLRB1,ZFP36L2,HBA2
CCL4,PIK3R1,PTMS
CD38,GPR183,LGALS1
ADGRG1,TPT1,S100A4
DAB2,RPS2,CD52
ALOX5AP,RPLP1,CD2
CTSD,IL2RB,PRDM1
PLAC8,EEF1A1,AHNAK
CD247,COTL1,PPDPF
HIPK2,CLDND1,HLA-DPB1
TMIGD2,LTB,DSTN
JAK1,STK17A,TRBC1
ITGB2,RPS18,ZBTB38
GNG2,RPS15A,ZEB2
S1PR5,RPS23,SYNE2
NKG7,PDCD4,CLEC2D
CD160,RPS12,PPP2R5C
PRSS23,RPS8,HLA-DPA1
LY6E,RPL13,FGFBP2
EFHD2,RPSA,FGL2
ABHD17A,RPL10A,RAP2A
DBI,RPLP0,S100A10
APLP2,DUSP1,FCGR3A
FCGR3A,CD74,ANXA5
GZMM,RPL13A,ASCL2
TTC38,CD69,MXRA7
,RPS5,MT-ND4
,RPS24,ARL6IP5
,IL18R1,COL6A2
,CD2,MT-ND4L
,RPS19,KLF6
,IFITM3,PTPRC
,RPS28,TRG-AS1
,RPL18A,CD320
,RPL32,MT2A
,RPL10,MT-CYB
,RPS3A,KLF2
,RPS9,RNF19A
,RPL34,TMSB4X
,EEF1B2,MYO6
,RPS14,ANXA2
,RPL3,MT-ND5
,RPL8,TRBC2
,RPS29,LGALS3
,SH2D1A,F2R
,RPL19,LAG3
,RPL37,RGS9
,MAP3K8,LILRB1
,CXCR4,HLA-B
,RPS27,CD99
,CNN2,ARID5B
,TSC22D3,FTL
,RPL28,CST7
,CD7,FCRL6
,RPS6,FLNA
,RPS21,TNFRSF18
,RPL18,SH3BGRL3
,RPL39,RPS3
,RPL41,S100A9
,RPL5,PATL2
,RPL30,EVI2B
,RPLP2,
,TC2N,
,RPS4X,
,PABPC1,
,RPS3,
,RPS13,
,MCUB,
,NR4A2,
,MT-ND1,
,NFKBIA,
,RPS7,
,RPL9,
,RPS27A,
,GATA3,
,RPL23A,
,RPL35,
,SNHG8,
,BTG1,
,TMEM123,
,RPL36,
,RPL36A,
,EIF3G,
,RPL12,
,RPS25,
,RPL11,
,TRDC,
,RPL21,
,RPS10,
