B cells Memory,B cells Naive,Plasmablasts
MS4A1,CD79A,IGKV3-15
CD79A,TCL1A,IGHG1
CD83,MS4A1,IGKV1-5
CD37,CD37,IGKV3-20
BANK1,CD74,IGKV3-11
HLA-DRA,LINC00926,IGKV1-9
CD74,HLA-DQB1,IGKC
HLA-DQB1,HLA-DRA,IGLV2-14
VPREB3,CD79B,IGKV4-1
IGHA1,VPREB3,IGLV3-25
HLA-DQA1,BANK1,IGLV1-40
IGHM,IGHD,IGLV1-44
CD79B,FCER2,IGHV6-1
HLA-DPB1,HVCN1,IGLC2
HLA-DQA2,HLA-DPB1,IGLV1-51
IRF8,ADAM28,IGHV3-23
HLA-DPA1,FCMR,IGHV3-21
ARHGAP24,CD83,IGLV3-21
ADAM28,LAPTM5,IGLC3
LINC00926,NCF1,IGLV1-47
LY9,BACH2,IGHV3-30
HLA-DRB5,BTG1,IGLV3-1
POU2F2,HLA-DPA1,IGLV2-23
MEF2C,CD52,IGLV2-11
RALGPS2,HLA-DQA1,IGHV4-39
LAPTM5,FAM129C,JCHAIN
CD52,IGHM,IGHG3
FCMR,CD72,IGHV1-18
CD19,SELL,IGHV1-46
SMIM14,HLA-DMB,CH17-224D4.2
CD69,POU2F2,IGLV2-8
NCF1,STAG3,IGKV1-8
LTB,CD19,IGLV4-69
FCRLA,MEF2C,IGHG4
1-Mar,RCSD1,IGKV1-16
NFKBID,STK17A,IGKV3D-11
HVCN1,LIMD2,IGHA1
CD55,IL4R,IGHV3-15
HLA-DRB1,TXNIP,IGHV3-74
LIMD2,IRF8,IGLV3-19
CCR7,TNFRSF13C,IGHV5-51
RP5-887A10.1,HLA-DMA,IGHV1-2
TNFRSF13B,HLA-DQA2,IGHV1-3
HLA-DMA,SNX2,IGHV4-34
TNFRSF13C,HLA-DRB5,IGLV6-57
REL,RALGPS2,IGLV3-10
BLK,1-Mar,IGLV7-46
SELL,SMCHD1,IGKV2-30
AC079767.4,CCR7,IGHV1-69
LY86,LY9,IGKV1-17
