Luminal Progenitors,Mature Luminal,Myoepithelial
KRT15,SCGB3A1,KRT14
LTF,AZGP1,KRT17
PTN,PIP,MYLK
MMP7,MGP,KRT5
MGP,MUCL1,TAGLN
CXCL2,XBP1,ACTG2
TACSTD2,TFF1,DST
FDCSP,C8orf4,ACTA2
SLPI,STC2,CXCL14
SFRP1,AREG,CSRP1
CLDN4,KRT18,CNN1
SAA1,TFF3,C2orf40
TM4SF1,KRT8,FBXO32
CCL28,MAFF,MT1X
CRYAB,CLDN4,SFN
WFDC2,WFDC2,MT1E
KRT23,TM4SF1,CRYAB
GABRP,EFHD1,MT2A
RCAN1,SERPINA1,TPM2
KRT7,ANKRD30A,EGR1
NDRG2,TACSTD2,PDLIM3
C2orf82,PLAT,CYR61
KRT14,CEBPD,MYL9
RARRES1,BAMBI,SAA1
PIGR,MAGED2,PDLIM4
PROL1,PDK4,NNMT
CX3CL1,EFNA1,TPM1
CXCL3,IER3,CALML3
TPT1-AS1,BTG2,TNS4
SCGB3A1,SPINT2,OXTR
LCN2,ATF3,CLU
CLU,ELF3,ACTN1
SAA2,CRACR2B,MYH11
KRT8,SPDEF,SYNM
CLDN3,KIAA1324,DKK3
CHI3L1,CXCL2,PALLD
KRT19,SOX4,TRIM29
KLK5,SERHL2,PERP
KRT6B,KRT19,TACSTD2
PDZK1IP1,ATP1B1,FHL2
KLF5,SLC40A1,SCPEP1
KRT5,SOCS2,MYC
APP,ERRFI1,PTN
IMPDH2,CLDN7,SFRP1
KRT16,MLPH,FOS
PHLDA2,CITED1,PDLIM1
KRT18,RND1,EFEMP1
CDC42EP1,SLC39A6,CDKN1A
SLC25A37,TAT,TUBB2A
SOD2,GPRC5A,PPP1R14A
ELF5,SCUBE2,BCAM
MAFF,PTHLH,ANXA3
SDC4,GSTM3,PLK2
TNFRSF12A,RASEF,KRT7
PERP,TCEAL4,ARC
CLDN7,TBX3,GEM
MYC,ANGPTL4,CALD1
NTRK2,CD9,GRAMD3
STAC2,TPM1,COL17A1
PLPP2,FBP1,CCL2
EMP1,PERP,NFIB
MT1X,TNFSF10,SNCG
MFGE8,BATF,MAOB
NFIB,GSTP1,FBXO2
DSC2,LIMCH1,CHI3L1
TCN1,TSC22D1,PTRF
KRT17,TRAF4,STAC2
KIT,AR,GAS6
SYNM,DSP,CITED2
PDLIM3,UGDH,TGFB1I1
EEF2,RUNX1,CDH3
AZGP1,RBP1,WLS
CYR61,LTF,TFAP2C
CXCL1,AFF3,DMKN
ATP1B1,MYO6,SSPN
ATF3,PEBP1,SGK1
CRABP1,ESR1,SYT8
SOX9,LDLR,NTRK2
DEFB1,CLU,ZYX
PPP1R1B,BCAM,JUN
PPA1,TRPS1,MAFB
AK5,VTCN1,TUBB2B
EHF,CYP4X1,PIK3R1
ELF3,TNFRSF12A,FAM210B
CRACR2B,PI15,SOCS3
SH3YL1,DHCR24,LAMB3
EDN1,GATA3,TINAGL1
CD59,CSNK1A1,KRT8
SPINT1,ACADVL,MFGE8
NCOA7,TMC5,PLPP1
FOLR1,AGR2,IER3
KRTCAP3,IL20RA,MT1M
IQCG,EMP2,LTBP2
ZC3H12A,ERBB4,LBH
TSC22D1,FHL2,ATF3
NME2,AGR3,CD151
CHI3L2,PVRL2,KLF10
EPCAM,IRF1,SEMA3C
ERRFI1,CRNDE,ID4
LMNA,PDLIM1,CNN2
ALDH1A3,CDH1,TUBA1A
SLC3A2,SHROOM3,GADD45B
MT-ND4L,AK5,BRD2
SNHG8,DCDC2,JUNB
EIF3L,ERBB3,KCNMB1
TPD52L1,TFAP2A,MSRB3
SPTSSA,MGST1,PRNP
CXCL16,KIAA0040,ANXA1
KRT81,CA12,ALDH7A1
FXYD3,PNPLA2,WIF1
ACADVL,SDC4,LAMC2
SORBS2,RERG,ZNF503
PRSS8,TM4SF18,TSHZ2
ODF3B,ELOVL5,NUPR1
LIF,TFPI2,IER2
TTYH1,H1F0,ZFP36
GLTSCR2,LURAP1L,MYADM
S100A1,HACD3,LAMA3
FOSL1,GDF15,SELM
ANXA1,MT1E,ANO1
CEBPD,SERPINA3.1,NGFR
MT-ATP8,ACADSB,MXRA8
RHOV,MYBPC1,THBS1
CD9,SELM,WFDC2
MARCKSL1,NEDD4L,BLCAP
LGALS3,KRT7,CIRBP
BTF3,FASN,S100A2
TUBA1A,BCL3,SQSTM1
BBOX1,ZG16B,H2AFX
PROM1,NTN4,LMOD1
EIF3D,APLP2,RHOB
ARID5A,HMGCS2,HEXIM1
NCALD,RABEP1,PDLIM7
CXADR,KLF6,OSR1
CSRP1,MARCKSL1,CC2D1A
,REEP5,KDSR
,CD59,FLNA
,PTPRF,NPC2
,LMNA,TP63
,GALNT6,PLAT
,ALCAM,MT1G
,PRLR,LY6E
,RBM47,SERPINB5
,CHPT1,TMEM237
,RHOBTB3,SERTAD1
,MDK,TMEM98
,RAB11FIP1,TPM4
,CYP4Z1,AMIGO2
,TSPAN6,KLF5
,DSTN,DSTN
,IL6ST,NGFRAP1
,SMIM14,MAFF
,ALDH3B2,SLC1A5
,TFAP2B,RCAN1
,PDLIM3,PLP2
,TMEM59,FOSB
,VMP1,ITGA2
,BAG1,PTMS
,TBC1D8,RBBP8
,CP,TUBB6
,RHOB,ST5
,EPCAM,ACTN4
,PPDPF,NEXN
,TCEAL3,APP
,FTO,CARMN
,DLG5,CES1
,ECHDC2,SBSPON
,C16orf89,SPINT2
,EMP1,BHLHE41
,HSPB8,MME
,DCXR,ITGB4
,NNMT,KRT6B
,VSIG2,CCDC8
,CLMN,CLDN11
,CA2,BEX2
,KLF5,FHOD3
,RARRES3,SERPING1
,MIF,PPP1R10
,PHYHD1,TCEAL4
,MORF4L2,INPP1
,SLC9A3R1,TESC
,SLC4A7,SNAI2
,SLC25A25,EIF3L
,CREB3L4,ANGPTL4
,FOSB,C12orf57
,WEE1,TNC
,HSPA5,SLC29A1
,TECR,CD9
,IRX3,MATN2
,SERINC2,IRF6
,SH3BGRL,ISYNA1
,NUCB2,RBPMS
,REEP6,KLK5
,PGRMC1,FMO2
,SCCPDH,PAMR1
,CERS4,PRDX5
,LYPD3,PPP1R15A
,NEK10,KLHL13
,SLC38A1,HSPB8
,H2AFJ,ARL4D
,MT1G,CEBPD
,STOM,ZFP36L2
,MUC1,IRX4
,CX3CL1,EGFR
,CLDN3,TIMP3
,C3orf14,TUSC3
,MYC,GRINA
,TRIB1,DLK2
,FLNB,SOX9
,NFIC,F3
,CYB5A,ZC2HC1A
,PKIB,LMNA
,TBC1D9,IGFBP4
,TMBIM6,CTGF
,NFIA,RASSF6
,KTN1,SVIL
,LRRC26,PPP1R13L
,BIK,NES
,MAPT,PPP1R12A
,INHBB,ADM
,RNASE4,RNF39
,ARHGEF38,TNFRSF12A
,FXYD3,NSG1
,DNAJC12,CDKN1C
,PRSS22,ADH5
,FKBP4,TES
,DNAJB9,WDR86
,COMT,ICAM1
,PTPRK,EEF2
,ARFIP2,IFITM3
,CMBL,CTSF
,ZBTB16,ATP1B1
,,WBP5
,,MYLIP
,,LAPTM4A
,,KIAA1217
,,TUBB4B
,,SPHK1
,,RAB34
,,RIC3
,,RTN4
,,GSN
,,IGFBP2
,,DSP
,,RGS16
,,VASN
,,RBP1
,,NTN4
,,C9orf3
,,MT-ND4L
,,ATP2B1
,,JUP
