CAFs MSC iCAF like s1,CAFs MSC iCAF like s2,CAFs myCAF like s4,CAFs myCAF like s5,CAFs Transitioning s3
APOD,APOD,COL3A1,COL1A1,SFRP2
DCN,CCL19,COL1A1,COL1A2,LUM
CFD,DCN,COL1A2,COL3A1,COL3A1
PTGDS,PTGDS,COL6A2,SFRP2,COL1A2
LUM,CXCL12,TIMP1,LUM,COL1A1
C3,LUM,POSTN,POSTN,DCN
SFRP2,TIMP1,LUM,CTHRC1,MMP11
C1S,COL6A2,APOD,MMP11,CTHRC1
CXCL14,C1S,BGN,FN1,SFRP4
CCDC80,COL3A1,COL6A1,SPARC,CCDC80
CXCL12,MEG3,SPARC,COL6A3,CXCL14
MFAP4,RARRES2,MMP11,DCN,POSTN
FBLN1,IGF1,DCN,CTGF,CTGF
SFRP4,CYR61,FN1,BGN,COL6A3
GSN,CXCL9,THY1,AEBP1,CTSK
CTSK,SERPING1,COL6A3,COL6A1,C1S
SERPINF1,EGR1,PCOLCE,VCAN,MMP2
C1R,COL6A1,IGF1,COL6A2,COL6A2
RARRES2,CTSK,SFRP2,COL5A2,APOD
IGF2,GEM,CXCL10,RARRES2,AEBP1
IGFBP6,BGN,CTHRC1,CTSK,COL6A1
CTGF,SERPINF1,LGALS1,CCDC80,SPARC
MMP2,COL1A2,COL5A2,MMP2,RARRES2
CYR61,ISLR,CALD1,ASPN,BGN
SERPING1,PCOLCE,AEBP1,MFAP2,SERPINF1
IGFBP4,SRPX,SERPINF1,TIMP1,TIMP1
COL6A2,RASD1,COL18A1,SFRP4,FBLN1
MEG3,CTGF,COL4A1,CXCL14,MXRA8
IGF1,COL1A1,RARRES2,COL5A1,FN1
COL6A3,IGF2,CTSK,COL12A1,C1R
SRPX,C1R,SPON2,THY1,CYR61
MXRA8,CALD1,MEG3,MXRA8,VCAN
ADH1B,IGFBP4,VCAN,TIMP3,COL5A2
PDGFRL,GSN,C1S,ISLR,ISLR
COL1A2,COL6A3,SERPING1,THBS2,C3
ISLR,SPON2,C1R,C1S,GSN
LRP1,TNFAIP6,ISLR,SERPINF1,MFAP4
EGR1,CFD,IGFBP7,CALD1,IGF2
DPT,LGALS1,TNFAIP6,COMP,HTRA1
EFEMP1,PLPP3,COL4A2,LGALS1,IGFBP4
AEBP1,TMEM176B,COL5A1,CST1,ASPN
COL3A1,SFRP2,CXCL9,FBLN1,SPON2
PCOLCE,MXRA8,FSTL1,COL10A1,MFAP2
SOD3,MFAP4,CD63,CYR61,SERPING1
TIMP1,CCL2,MXRA8,MXRA5,THY1
COL6A1,MMP2,OLFML3,COL8A1,PCOLCE
FGF7,FOS,IGFBP4,SPON2,COL14A1
COL14A1,ITM2A,PDGFRB,FSTL1,IGFBP6
FBLN5,FBLN1,CTGF,COL11A1,FBLN2
PLPP3,LAPTM4A,MFAP2,PCOLCE,IGF1
