Cycling Myeloid,Myeloid c0 DC LAMP3,Myeloid c1 LAM1 FABP5,Myeloid c2 LAM2 APOE,Myeloid c3 cDC1 CLEC9A,Myeloid c4 DCs pDC IRF7,Myeloid c5 Macrophage 3 SIGLEC1,Myeloid c7 Monocyte 3 FCGR3A,Myeloid c8 Monocyte 2 S100A9,Myeloid c9 Macrophage 2 CXCL10,Myeloid c10 Macrophage 1 EGR1,Myeloid c11 cDC2 CD1C,Myeloid c12 Monocyte 1 IL1B
SPP1,BIRC3,SPP1,C1QC,CPVL,PTGDS,C1QB,LST1,LYZ,CXCL10,C1QB,HLA-DPB1,LYZ
C1QB,TXN,APOC1,C1QA,CST3,GPR183,C1QA,AIF1,IL1B,C1QB,C1QA,HLA-DRA,IL1B
C1QC,CCR7,APOE,C1QB,HLA-DPB1,GZMB,RNASE1,SERPINA1,FCN1,C1QC,C1QC,HLA-DPA1,HLA-DRA
APOC1,CCL22,CXCL8,APOE,HLA-DPA1,IRF7,PLTP,FCER1G,S100A9,CXCL9,CCL3,HLA-DQB1,TYROBP
C1QA,HLA-DRA,FCER1G,APOC1,HLA-DRA,LILRA4,C1QC,IL1B,G0S2,C1QA,CCL3L3,HLA-DQA1,HLA-DPB1
LYZ,CCL19,CTSB,LYZ,CD74,PLAC8,TYROBP,FCN1,TYROBP,APOE,SEPP1,HLA-DRB5,HLA-DPA1
AIF1,LAMP3,CD68,TYROBP,HLA-DQB1,IRF8,MS4A6A,CTSS,PLAUR,TYROBP,TYROBP,HLA-DRB1,AIF1
TYROBP,IDO1,TYROBP,HLA-DRA,HLA-DQA1,TCL1A,CD68,LINC01272,AIF1,CCL8,MS4A6A,LYZ,G0S2
FCER1G,HLA-DPB1,C1QB,HLA-DRB1,HLA-DRB1,PLD4,F13A1,FCGR3A,LST1,LYZ,APOE,CD74,C15orf48
CTSB,FSCN1,CTSD,HLA-DRB5,LGALS2,JCHAIN,MS4A7,PLAUR,EREG,FCER1G,CXCL8,CST3,FCER1G
